Bacteria,Percent_of_crossed_J2s
Saline solution,56.25
Saline solution,99.875
Sphingomonas CTRL06,32.8125
Sphingomonas CTRL06,6.75
Rothia CTRL01,63
Rothia CTRL01,60.125
Priestia CTRL03,29.25
Priestia CTRL03,39.3125
Microbacterium PCTRL04,27.75
Microbacterium CTRL04,32.8125
Micrococcus CA05,32.9375
Micrococcus CA05,15.3125
Acinetobacter CA01,14.875
Acinetobacter CA01,34
Pantoea CA02,34.125
Pantoea CA02,29.25
Pantoea CA02,25.1875
Paenibacillus CT02,59.375
Paenibacillus CT02,84.5625
Paenibacillus CT02,66
Burkholderia CT03,42.75
Burkholderia CT03,13.875
Saline solution,81.04651163
Saline solution,86.97674419
Sphingomonas CTRL06,43.95348837
Sphingomonas PCTRL06,47.44186047
Rothia CTRL01,83.95348837
Rothia CTRL01,94.88372093
Priestia CTRL03,60
Priestia CTRL03,54.41860465
Microbacterium CTRL04,79.76744186
Microbacterium CTRL04,81.97674419
Methylobacterium CA03,99.76744186
Methylobacterium CA03,106.9767442
Methylobacterium CA03,76.51162791
Micrococcus CA05,34.76744186
Micrococcus CA05,51.39534884
Acinetobacter CA01,6.976744186
Acinetobacter CA01,7.558139535
Janibacter CA04,106.744186
Janibacter CA04,111.627907
Janibacter CA04,81.74418605
Pantoea CA02,13.60465116
Pantoea CA02,8.372093023
Pantoea CA02,7.674418605
Burkholderia CT03,53.37209302
Burkholderia CT03,28.72093023
Bosea CT05,98.8372093
Bosea CT05,68.8372093
Bosea CT05,87.44186047
Saline solution,76.62162162
Saline solution,70.27027027
Sphingomonas CTRL06,2.702702703
Sphingomonas CTRL06,2.702702703
Rothia CTRL01,90
Rothia CTRL01,59.45945946
Priestia CTRL03,48.78378378
Priestia CTRL03,39.72972973
Microbacterium CTRL04,100
Microbacterium CTRL04,51.08108108
Methylobacterium CA03,64.86486486
Methylobacterium CA03,59.59459459
Methylobacterium CA03,74.45945946
Micrococcus CA05,13.51351351
Micrococcus CA05,5.405405405
Acinetobacter CA01,2.702702703
Acinetobacter CA01,2.702702703
Janibacter CA04,70.27027027
Janibacter CA04,54.05405405
Janibacter CA04,45.94594595
Burkholderia CT03,21.62162162
Burkholderia CT03,2.702702703
Agrobacterium CT06,0
Agrobacterium CT06,0
Agrobacterium CT06,0
Bosea CT05,83.78378378
Bosea CT05,72.97297297
Bosea CT05,54.05405405
Saline solution,70
Saline solution,74.66666667
Sphingomonas CTRL06,44
Sphingomonas CTRL06,34.66666667
Sphingomonas CTRL06,8
Rothia CTRL01,26.66666667
Rothia CTRL01,64
Rothia CTRL01,40.53333333
Priestia CTRL03,28
Priestia CTRL03,26.66666667
Priestia CTRL03,26.66666667
Microbacterium CTRL04,30.66666667
Microbacterium CTRL04,16
Microbacterium CTRL04,22.4
Methylobacterium CA03,17.6
Methylobacterium CA03,73.33333333
Methylobacterium CA03,44.8
Micrococcus CA05,29.33333333
Micrococcus CA05,53.33333333
Micrococcus CA05,5.333333333
Acinetobacter CA01,2.666666667
Acinetobacter CA01,2.666666667
Acinetobacter CA01,5.333333333
Janibacter CA04,64
Janibacter CA04,0
Janibacter CA04,18.66666667
Pantoea CA02,8
Pantoea CA02,29.33333333
Pantoea CA02,10.66666667
Paenibacillus CT02,98.66666667
Paenibacillus CT02,66.66666667
Paenibacillus CT02,98.8
Burkholderia CT03,0
Burkholderia CT03,2.933333333
Burkholderia CT03,0
Agrobacterium CT06,22.4
Agrobacterium CT06,2.666666667
Agrobacterium CT06,0
Bosea CT05,29.33333333
Bosea CT05,42.66666667
Bosea CT05,74.66666667
Saline solution,71.4
Paenibacillus CT02,75.6
Paenibacillus CT02,84
Paenibacillus CT02,54.6
Agrobacterium CT06,0
Agrobacterium CT06,0
Agrobacterium CT06,0

